"GEOID","State","county_name","mvi_3_bins","Th1_3_bins","Th2_3_bins","Th3_3_bins","Th4_3_bins","Th5_3_bins","Th6_3_bins","mvi","Th1","Th2","Th3","Th4","Th5","Th6","pop_wra","pop_wra_black","pop_wra_white","pop_wra_hisplatino","pop_wra_asian","pop_wra_native","pop_wra_pacificisland","pop_wra_mixed","pop_wra_other","pct_wra_black","pct_wra_white","pct_wra_hisplatino","pct_wra_asian","pct_wra_native","pct_wra_pacificisland","pct_wra_mixed","pct_wra_other","mvi_state_avg","Th1_state_avg","Th2_state_avg","Th3_state_avg","Th4_state_avg","Th5_state_avg","Th6_state_avg","callout","callout1","mmr_state","mmr_state_blurb","blurb","pct_lbw","pct_ptb","pop_wra_within_state_rank"
"02282","Alaska","Yakutat ","Moderate","Low","Moderate","Moderate","High","Low","High",48.5832537408469,17.3829990448902,52.976758993951,36.5488697866921,94.5240369309137,16.4278892072588,78.3190066857689,108,0,52,8,3,32,0,16,5,0,48.1481481481481,7.40740740740741,2.77777777777778,29.6296296296296,0,14.8148148148148,4.62962962962963,20.732475250319,3.73573808118271,26.4400454978841,24.192358918314,53.1380111397942,32.3420378206209,47.2257567255719,"General healthcare","On average, women in Yakutat  county are more vulnerable to adverse maternal health outcomes due to county-level conditions than the average woman in the state of Alaska.<br>Yakutat (B) is most vulnerable due to <p><b style=""border-bottom:2px solid #F37940"";>General healthcare</b></p>.","22","22 deaths per 100,000 live births","General Healthcare measures the accessibility, affordability and utilization of healthcare, including insurance coverage and the state’s Medicaid expansion status.",NA,NA,29
"02060","Alaska","Bristol Bay ","Moderate","Low","Moderate","Low","High","Low","Moderate",41.1652340019102,27.7618592804839,64.8519579751671,30.3088188475008,71.474052849411,13.658070678128,58.8984399872652,118,0,66,5,0,35,0,15,2,0,55.9322033898305,4.23728813559322,0,29.6610169491525,0,12.7118644067797,1.69491525423729,20.732475250319,3.73573808118271,26.4400454978841,24.192358918314,53.1380111397942,32.3420378206209,47.2257567255719,"General healthcare","On average, women in Bristol Bay  county are more vulnerable to adverse maternal health outcomes due to county-level conditions than the average woman in the state of Alaska.<br>Bristol Bay (B) is most vulnerable due to <p><b style=""border-bottom:2px solid #F37940"";>General healthcare</b></p>.","22","22 deaths per 100,000 live births","General Healthcare measures the accessibility, affordability and utilization of healthcare, including insurance coverage and the state’s Medicaid expansion status.",NA,NA,28
"02230","Alaska","Skagway Municipality ","Low","Low","Low","Low","High","Low","Low",7.09964979305954,11.6523400191022,5.28494110156001,13.3715377268386,79.8153454313913,6.20821394460363,18.3062718879338,204,0,176,11,0,23,0,5,0,0,86.2745098039216,5.3921568627451,0,11.2745098039216,0,2.45098039215686,0,20.732475250319,3.73573808118271,26.4400454978841,24.192358918314,53.1380111397942,32.3420378206209,47.2257567255719,"General healthcare","On average, women in Skagway Municipality  county are less vulnerable to adverse maternal health outcomes due to county-level conditions than the average woman in the state of Alaska.<br>Skagway Municipality (B) is most vulnerable due to <p><b style=""border-bottom:2px solid #F37940"";>General healthcare</b></p>.","22","22 deaths per 100,000 live births","General Healthcare measures the accessibility, affordability and utilization of healthcare, including insurance coverage and the state’s Medicaid expansion status.",NA,NA,27
"02164","Alaska","Lake and Peninsula ","High","Moderate","High","Moderate","High","High","High",87.1696911811525,46.3228271251194,71.6332378223496,52.753900031837,94.3330149633875,81.7255651066539,92.7411652340019,273,3,79,2,0,172,2,17,0,1.0989010989011,28.9377289377289,0.732600732600733,0,63.003663003663,0.732600732600733,6.22710622710623,0,20.732475250319,3.73573808118271,26.4400454978841,24.192358918314,53.1380111397942,32.3420378206209,47.2257567255719,"General healthcare","On average, women in Lake and Peninsula  county are more vulnerable to adverse maternal health outcomes due to county-level conditions than the average woman in the state of Alaska.<br>Lake and Peninsula (B) is most vulnerable due to <p><b style=""border-bottom:2px solid #F37940"";>General healthcare</b></p>.","22","22 deaths per 100,000 live births","General Healthcare measures the accessibility, affordability and utilization of healthcare, including insurance coverage and the state’s Medicaid expansion status.",NA,NA,25
"02105","Alaska","Hoonah-Angoon ","Moderate","Low","High","Moderate","High","Moderate","High",52.8175740210124,7.03597580388411,68.5768863419293,39.7325692454632,85.0366125437759,43.170964660936,69.6275071633238,257,0,123,14,2,93,0,39,0,0,47.8599221789883,5.44747081712062,0.778210116731518,36.1867704280156,0,15.1750972762646,0,20.732475250319,3.73573808118271,26.4400454978841,24.192358918314,53.1380111397942,32.3420378206209,47.2257567255719,"General healthcare","On average, women in Hoonah-Angoon  county are more vulnerable to adverse maternal health outcomes due to county-level conditions than the average woman in the state of Alaska.<br>Hoonah-Angoon (CA) is most vulnerable due to <p><b style=""border-bottom:2px solid #F37940"";>General healthcare</b></p>.","22","22 deaths per 100,000 live births","General Healthcare measures the accessibility, affordability and utilization of healthcare, including insurance coverage and the state’s Medicaid expansion status.",NA,NA,26
"02068","Alaska","Denali ","Low","Moderate","Low","Low","High","Moderate","Low",27.5390003183699,38.1407195160777,6.74944285259472,32.6965934415791,79.1467685450494,36.5807067812799,21.7128303088188,511,0,452,0,7,10,0,42,0,0,88.454011741683,0,1.36986301369863,1.95694716242661,0,8.21917808219178,0,20.732475250319,3.73573808118271,26.4400454978841,24.192358918314,53.1380111397942,32.3420378206209,47.2257567255719,"General healthcare","On average, women in Denali  county are more vulnerable to adverse maternal health outcomes due to county-level conditions than the average woman in the state of Alaska.<br>Denali (B) is most vulnerable due to <p><b style=""border-bottom:2px solid #F37940"";>General healthcare</b></p>.","22","22 deaths per 100,000 live births","General Healthcare measures the accessibility, affordability and utilization of healthcare, including insurance coverage and the state’s Medicaid expansion status.",NA,NA,20
"02275","Alaska","Wrangell ","Moderate","Low","Moderate","Low","High","Low","Moderate",38.3954154727794,15.7274753263292,66.634829672079,16.0140082776186,85.7051894301178,14.645017510347,56.8927093282394,328,0,188,22,8,114,0,18,0,0,57.3170731707317,6.70731707317073,2.4390243902439,34.7560975609756,0,5.48780487804878,0,20.732475250319,3.73573808118271,26.4400454978841,24.192358918314,53.1380111397942,32.3420378206209,47.2257567255719,"General healthcare","On average, women in Wrangell  county are more vulnerable to adverse maternal health outcomes due to county-level conditions than the average woman in the state of Alaska.<br>Wrangell (B) is most vulnerable due to <p><b style=""border-bottom:2px solid #F37940"";>General healthcare</b></p>.","22","22 deaths per 100,000 live births","General Healthcare measures the accessibility, affordability and utilization of healthcare, including insurance coverage and the state’s Medicaid expansion status.",NA,NA,24
"02100","Alaska","Haines ","Low","Low","Low","Low","High","Low","Low",12.448264883795,12.0343839541547,9.36007640878701,18.9111747851003,77.6504297994269,23.018147086915,14.867876472461,343,0,249,23,19,70,0,5,0,0,72.5947521865889,6.70553935860058,5.53935860058309,20.4081632653061,0,1.45772594752187,0,20.732475250319,3.73573808118271,26.4400454978841,24.192358918314,53.1380111397942,32.3420378206209,47.2257567255719,"General healthcare","On average, women in Haines  county are less vulnerable to adverse maternal health outcomes due to county-level conditions than the average woman in the state of Alaska.<br>Haines (B) is most vulnerable due to <p><b style=""border-bottom:2px solid #F37940"";>General healthcare</b></p>.","22","22 deaths per 100,000 live births","General Healthcare measures the accessibility, affordability and utilization of healthcare, including insurance coverage and the state’s Medicaid expansion status.",NA,NA,23
"02195","Alaska","Petersburg ","Moderate","Low","Low","Low","High","Moderate","High",36.8035657433938,15.0270614453996,16.2050302451449,13.7217446673034,92.0407513530723,35.1480420248329,77.0455269022604,487,3,320,15,28,58,13,65,0,0.616016427104723,65.7084188911704,3.08008213552361,5.74948665297741,11.9096509240246,2.6694045174538,13.347022587269,0,20.732475250319,3.73573808118271,26.4400454978841,24.192358918314,53.1380111397942,32.3420378206209,47.2257567255719,"General healthcare","On average, women in Petersburg  county are more vulnerable to adverse maternal health outcomes due to county-level conditions than the average woman in the state of Alaska.<br>Petersburg (B) is most vulnerable due to <p><b style=""border-bottom:2px solid #F37940"";>General healthcare</b></p>.","22","22 deaths per 100,000 live births","General Healthcare measures the accessibility, affordability and utilization of healthcare, including insurance coverage and the state’s Medicaid expansion status.",NA,NA,21
"02013","Alaska","Aleutians East ","Moderate","Low","Moderate","Low","High","Moderate","Moderate",47.1187519898122,20.2483285577841,60.1082457815982,9.80579433301496,91.0538045208532,51.098376313276,59.1849729385546,483,7,45,22,91,265,11,53,11,1.44927536231884,9.3167701863354,4.55486542443064,18.8405797101449,54.8654244306418,2.27743271221532,10.9730848861284,2.27743271221532,20.732475250319,3.73573808118271,26.4400454978841,24.192358918314,53.1380111397942,32.3420378206209,47.2257567255719,"General healthcare","On average, women in Aleutians East  county are more vulnerable to adverse maternal health outcomes due to county-level conditions than the average woman in the state of Alaska.<br>Aleutians East (B) is most vulnerable due to <p><b style=""border-bottom:2px solid #F37940"";>General healthcare</b></p>.","22","22 deaths per 100,000 live births","General Healthcare measures the accessibility, affordability and utilization of healthcare, including insurance coverage and the state’s Medicaid expansion status.",NA,NA,22
